hour,time
1165,H10
1166,H11
1167,H11
1168,H11
1169,H11
1170,H12
1171,H12
1172,H12
1173,H12
1174,H12
1175,H9
1176,H9
1177,H9
1178,H9
1179,H9
1180,H9
1181,H9
1182,H9
1183,H10
1184,H10
1185,H10
1186,H10
1187,H10
1188,H10
1189,H10
1190,H11
1191,H11
1192,H11
1193,H11
1194,H12
1195,H12
1196,H12
1197,H12
1198,H12
1199,H9
1200,H9
1201,H9
1202,H9
1203,H9
1204,H9
1205,H9
1206,H9
1207,H10
1208,H10
1209,H10
1210,H10
1211,H10
1212,H10
1213,H10
1214,H11
1215,H11
1216,H11
1217,H11
1218,H12
1219,H12
1220,H12
1221,H12
1222,H12
1223,H9
1224,H9
1225,H9
1226,H9
1227,H9
1228,H9
1229,H9
1230,H9
1231,H10
1232,H10
1233,H10
1234,H10
1235,H10
1236,H10
1237,H10
1238,H11
1239,H11
1240,H11
1241,H11
1242,H12
1243,H12
1244,H12
1245,H12
1246,H12
1247,H9
1248,H9
1249,H9
1250,H9
1251,H9
1252,H9
1253,H9
1254,H9
1255,H10
1256,H10
1257,H10
1258,H10
1259,H10
1260,H10
1261,H10
1262,H11
1263,H11
1264,H11
1265,H11
1266,H12
1267,H12
1268,H12
1269,H12
1270,H12
1271,H9
1272,H9
1273,H9
1274,H9
1275,H9
1276,H9
1277,H9
1278,H9
1279,H10
1280,H10
1281,H10
1282,H10
1283,H10
1284,H10
1285,H10
1286,H11
1287,H11
1288,H11
1289,H11
1290,H12
1291,H12
1292,H12
1293,H12
1294,H12
1295,H9
1296,H9
1297,H9
1298,H9
1299,H9
1300,H9
1301,H9
1302,H9
1303,H10
1304,H10
1305,H10
1306,H10
1307,H10
1308,H10
1309,H10
1310,H11
1311,H11
1312,H11
1313,H11
1314,H12
1315,H12
1316,H12
1317,H12
1318,H12
1319,H9
1320,H9
1321,H9
1322,H9
1323,H9
1324,H9
1325,H9
1326,H9
1327,H10
1328,H10
1329,H10
1330,H10
1331,H10
1332,H10
1333,H10
1334,H11
1335,H11
1336,H11
1337,H11
1338,H12
1339,H12
1340,H12
1341,H12
1342,H12
1343,H9
